Dinners
Stir Fry
Breakfast
Enchiladas
Sausage and Potatoes 
Tacos 
Burger and Fries
Pulled Pork
BBQ Chicken
Spaghetti
Curry
Jambalaya
Chili
Ramen 
Salmon
Veggie Kebabs
Pork Chops
Chicken Noodle Soup
Tuscan Chicken Soup
Random Recipe from Cookbook
Big Salad
